release_year,rank_in_year,imdb_rating,mpaa_rating,film_title,film_budget,length_in_min,domestic_distributor,worldwide_gross,domestic_gross,genre_1,genre_2,genre_3
1999,4,8.7,R,The Matrix,"63,000,000",136,Warner Bros.,"463,517,383","171,479,930",Action,Sci-Fi,
1999,5,7.3,G,Tarzan,"130,000,000",88,Walt Disney ,"448,191,819","171,091,819",Animation,Adventure,Family
1999,6,7,PG-13,The Mummy,"80,000,000",124,Universal Pictures,"415,933,406","155,385,488",Action,Adventure,Fantasy
1999,7,7.1,PG-13,Notting Hill,"42,000,000",124,Universal Pictures,"363,889,678","116,089,678",Comedy,Drama,Romance
1999,8,6.4,PG-13,The World is Not Enough,"135,000,000",128,Metro-Goldwyn-Mayer,"361,832,400","126,943,684",Action,Adventure,Thriller
1999,9,8.3,R,American Beauty,"15,000,000",122,DreamWorks,"356,296,601","130,096,601",Drama,,
1999,10,6.6,PG-13,Austin Powers: The Spy Who Shagged Me,"33,000,000",95,New Line Cinema,"312,016,858","206,040,086",Action,Adventure,Comedy
1998,1,6.7,PG-13,Armageddon,"140,000,000",151,Walt Disney ,"553,709,788","201,578,182",Action,Adventure,Sci-Fi
1998,2,8.6,R,Saving Private Ryan,"70,000,000",169,DreamWorks,"481,840,909","216,540,909",Drama,War,
1998,3,5.4,PG-13,Godzilla,"130,000,000",139,Sony Pictures,"379,014,294","136,314,294",Action,Sci-Fi,Thriller
1998,4,7.1,R,There's Something About Mary,"23,000,000",119,Twentieth Century Fox,"369,884,651","176,484,651",Comedy,Romance,
1998,5,7.2,G,A Bug's Life,"120,000,000",95,Walt Disney ,"363,258,859","162,798,565",Animation,Adventure,Comedy
1998,6,6.2,PG-13,Deep Impact,"75,000,000",120,Paramount Pictures,"349,464,664","140,464,664",Action,Drama,Romance
1998,7,7.6,G,Mulan,"90,000,000",88,Walt Disney ,"304,320,254","120,620,254",Animation,Adventure,Family
1998,8,5.4,PG-13,Doctor Dolittle,"71,500,000",85,Twentieth Century Fox,"294,456,605","144,156,605",Comedy,Family,Fantasy
1998,9,7.1,R,Shakespeare in Love,"25,000,000",123,Miramax,"289,317,794","100,317,794",Comedy,Drama,History
1998,10,6.6,R,Lethal Weapon 4,"140,000,000",127,Warner Bros.,"285,444,603","130,444,603",Action,Crime,Thriller
1997,1,7.8,PG-13,Titanic,"200,000,000",194,Paramount Pictures,"1,850,197,130","600,788,188",Drama,Romance,
1997,2,6.6,PG-13,The Lost World: Jurassic Park,"73,000,000",129,Universal Pictures,"618,638,999","229,086,679",Action,Adventure,Sci-Fi
1997,3,7.3,PG-13,Men in Black,"90,000,000",98,Sony Pictures,"589,390,539","250,690,539",Action,Adventure,Comedy
1997,4,6.5,PG-13,Tomorrow Never Dies,"110,000,000",119,Metro-Goldwyn-Mayer,"333,011,068","125,304,276",Action,Adventure,Thriller
1997,5,6.5,R,Air Force One,"85,000,000",124,Sony Pictures,"315,156,409","172,956,409",Action,Drama,Thriller
1997,6,7.7,PG-13,As Good As It Gets,"50,000,000",139,Sony Pictures,"314,178,011","148,478,011",Comedy,Drama,Romance
1997,7,6.9,PG-13,Liar Liar,"45,000,000",86,Universal Pictures,"302,710,615","181,410,615",Comedy,Fantasy,
1997,8,6.3,PG-13,My Best Friend's Wedding,"38,000,000",105,Sony Pictures,"299,288,605","127,120,029",Comedy,Drama,Romance
1997,9,7.7,PG-13,The Fifth Element,"93,000,000",126,Sony Pictures,"263,920,180","63,820,180",Action,Adventure,Sci-Fi
1997,10,7.2,R,The Full Monty,"3,500,000",91,Fox Searchlight Pictures,"257,938,649","45,950,122",Comedy,Drama,
1996,1,7,PG-13,Independence Day,"75,000,000",145,Twentieth Century Fox,"817,400,891","306,169,268",Action,Adventure,Sci-Fi
1996,2,6.4,PG-13,Twister,"92,000,000",113,Warner Bros.,"494,471,524","241,721,524",Action,Adventure,Thriller
1996,3,7.1,PG-13,Mission: Impossible,"80,000,000",110,Paramount Pictures,"457,696,359","180,981,856",Action,Adventure,Thriller
1996,4,7.4,R,The Rock,"75,000,000",136,Walt Disney ,"335,062,621","134,069,511",Action,Adventure,Thriller
1996,5,6.9,G,The Hunchback of Notre Dame,"100,000,000",91,Walt Disney ,"325,338,851","100,138,851",Animation,Drama,Family
1996,6,5.7,G,101 Dalmatians,"75,000,000",103,Walt Disney ,"320,689,294","136,189,294",Adventure,Comedy,Crime
1996,7,6.6,R,Ransom,"80,000,000",121,Walt Disney ,"309,492,681","136,492,681",Action,Crime,Thriller
1996,8,5.6,PG-13,The Nutty Professor,"54,000,000",95,Universal Pictures,"273,961,019","128,814,019",Comedy,Romance,Sci-Fi
1996,9,7.3,R,Jerry Maguire,"50,000,000",139,Sony Pictures,"273,552,592","153,952,592",Comedy,Drama,Romance
1996,10,6.1,R,Eraser,"100,000,000",115,Warner Bros.,"242,295,562","101,295,562",Action,Drama,Thriller
1995,1,7.6,R,Die Hard with a Vengeance,"90,000,000",128,Twentieth Century Fox,"366,101,666","100,012,499",Action,Adventure,Thriller
1995,2,8.3,G,Toy Story,"30,000,000",81,Walt Disney ,"363,007,140","191,796,233",Animation,Adventure,Comedy
1995,3,7.6,PG,Apollo 13,"52,000,000",140,Universal Pictures,"353,148,882","172,071,312",Adventure,Drama,History
1995,4,7.2,PG-13,GoldenEye,"60,000,000",140,Metro-Goldwyn-Mayer,"352,194,034","106,429,941",Action,Adventure,Thriller
1995,5,6.7,G,Pocahontas,"55,000,000",81,Walt Disney ,"346,079,773","141,579,773",Animation,Adventure,Drama
1995,6,5.4,PG-13,Batman Forever,"100,000,000",121,Warner Bros.,"336,529,144","184,031,112",Action,Adventure,Fantasy
1995,7,8.6,R,Se7en,"33,000,000",127,New Line Cinema,"327,311,859","100,125,643",Crime,Drama,Mystery
1995,8,6.1,PG,Casper,"50,000,000",100,Universal Pictures,"287,928,194","100,328,194",Comedy,Family,Fantasy
1995,9,6.2,PG-13,Waterworld,"175,000,000",135,Universal Pictures,"264,218,220","88,246,220",Action,Adventure,Sci-Fi
1995,10,7,PG,Jumanji,"65,000,000",104,Sony Pictures,"262,797,249","100,475,249",Adventure,Comedy,Family
1994,1,8.5,G,The Lion King,"45,000,000",88,Walt Disney ,"763,455,561","312,855,561",Animation,Adventure,Drama
1994,2,8.8,PG-13,Forrest Gump,"55,000,000",142,Paramount Pictures,"677,387,716","329,694,499",Drama,Romance,
1994,3,7.2,R,True Lies,"115,000,000",141,Twentieth Century Fox,"378,882,411","146,282,411",Action,Comedy,Thriller
1994,4,6.9,PG-13,The Mask,"23,000,000",101,New Line Cinema,"351,583,407","119,938,730",Comedy,Crime,Fantasy
1994,5,7.2,R,Speed,"30,000,000",116,Twentieth Century Fox,"350,448,145","121,248,145",Action,Adventure,Thriller
1994,6,4.9,PG,The Flintstones,"46,000,000",91,Universal Pictures,"341,631,208","130,531,208",Comedy,Family,Fantasy
1994,7,7.3,PG-13,Dumb and Dumber,"17,000,000",107,New Line Cinema,"247,275,374","127,175,374",Comedy,,
1994,8,7,R,Four Weddings and a Funeral,"4,400,000",117,Rank Film Distributors,"245,700,832","52,700,832",Comedy,Drama,Romance
1994,9,7.6,R,Interview with the Vampire: The Vampire Chronicles,"60,000,000",123,Warner Bros.,"223,664,608","105,264,608",Drama,Horror,
1994,10,6.9,PG-13,Clear and Present Danger,"62,000,000",141,Paramount Pictures,"215,887,717","122,187,717",Action,Crime,Drama
1993,1,8.1,PG-13,Jurassic Park ,"63,000,000",127,Universal Pictures,"912,667,947","357,067,947",Action,Adventure,Sci-Fi
1993,2,7,PG-13,Mrs. Doubtfire,"25,000,000",125,Twentieth Century Fox,"441,286,195","219,195,243",Comedy,Drama,Family
1993,3,7.8,PG-13,The Fugitive,"44,000,000",130,Warner Bros.,"368,875,760","183,875,760",Action,Crime,Drama
1993,4,8.9,R,Schindler's List,"22,000,000",195,Universal Pictures,"321,306,305","96,065,768",Biography,Drama,History
1993,5,6.8,R,The Firm,"42,000,000",154,Paramount Pictures,"270,248,367","158,348,367",Drama,Mystery,Thriller
1993,6,5.9,R,Indecent Proposal,"38,000,000",117,Paramount Pictures,"266,614,059","106,614,059",Drama,Romance,
1993,7,6.4,R,Cliffhanger,"70,000,000",113,TriStar Pictures,"255,000,211","84,049,211",Action,Adventure,Thriller
1993,8,6.8,PG,Sleepless in Seattle,"21,000,000",105,TriStar Pictures,"227,799,884","126,680,884",Comedy,Drama,Romance
1993,9,7.7,PG-13,Philadelphia,"26,000,000",125,TriStar Pictures,"206,678,440","77,446,440",Drama,,
1993,10,6.6,PG-13,The Pelican Brief,"45,000,000",141,Warner Bros.,"195,268,056","100,768,056",Crime,Drama,Mystery
1992,1,8,G,Aladdin,"28,000,000",90,Walt Disney ,"504,050,219","217,350,219",Animation,Adventure,Comedy
1992,2,6.3,R,The Bodyguard,"25,000,000",129,Warner Bros.,"410,945,720","121,945,720",Action,Drama,Music
1992,3,6.7,PG,Home Alone 2: Lost in New York ,"18,000,000",120,Twentieth Century Fox,"358,994,850","173,585,516",Adventure,Comedy,Crime
1992,4,7,R,Basic Instinct,"49,000,000",127,TriStar Pictures,"352,927,224","117,727,224",Drama,Mystery,Thriller
1992,5,6.7,R,Lethal Weapon 3,"35,000,000",118,Warner Bros.,"321,731,527","144,731,527",Action,Crime,Thriller
1992,6,7,PG-13,Batman Returns,"80,000,000",126,Warner Bros.,"266,822,354","162,831,698",Action,Crime,Fantasy
1992,7,7.7,R,A  Few Good Men,"41,000,000",138,Columbia Pictures,"243,240,178","141,340,178",Drama,Thriller,
1992,8,6.4,PG,Sister Act,"31,000,000",60,Walt Disney ,"231,605,150","139,605,150",Comedy,Crime,Family
1992,9,7.4,R,Bram Stoker's Dracula,"40,000,000",128,Columbia Pictures,"215,862,692","82,522,790",Horror,,
1992,10,7,PG-13,Wayne's World,"20,000,000",94,Paramount Pictures,"183,097,323","121,697,323",Comedy,Music ,
1991,1,8.5,R,Terminator 2: Judgement Day,"102,000,000",137,TriStar Pictures,"516,950,043","204,843,345",Action,Sci-Fi,
1991,2,6.9,PG-13,Robin Hood: Prince of Thieves,"48,000,000",143,Warner Bros.,"390,493,908","165,493,908",Action,Adventure,Drama
1991,3,8,G,Beauty and the Beast,"25,000,000",84,Walt Disney ,"331,907,151","145,863,363",Animation,Family,Fantasy
1991,4,6.8,PG,Hook,"70,000,000",142,TriStar Pictures,"300,854,823","119,654,823",Adventure,Comedy,Family
1991,5,8.6,R,The Silence of the Lambs,"19,000,000",118,Orion Pictures,"272,742,922","130,742,922",Crime,Drama,Thriller
1991,6,8,R,JFK,"40,000,000",189,Warner Bros.,"205,405,498","70,405,498",Drama,History,Thriller
1991,7,6.9,PG-13,The Addams Family,"30,000,000",99,Paramount Pictures,"191,502,426","113,502,426",Comedy,Fantasy,
1991,8,7.3,R,Cape Fear,"35,000,000",128,Universal Pictures,"182,291,969","79,091,969",Crime,Thriller,
1991,9,6.8,PG-13,Hot Shots!,"26,000,000",84,Twentieth Century Fox,"181,096,164","69,467,617",Action,Comedy,
1991,10,6.7,PG-13,City Slickers,"27,000,000",113,Columbia Pictures,"179,033,791","124,033,791",Comedy,,
1990,1,7,PG-13,Ghost,"22,000,000",127,Paramount Pictures,"505,702,588","217,631,306",Drama,Fantasy,Romance
1990,2,7.6,PG,Home Alone ,"18,000,000",103,Twentieth Century Fox,"476,684,675","285,761,243",Comedy,Family,
1990,3,7,R,Pretty Woman ,"14,000,000",119,Walt Disney ,"463,406,268","178,406,268",Comedy,Romance,
1990,4,8,PG-13,Dances with Wolves,"22,000,000",181,Orion Pictures,"424,208,848","184,208,848",Adventure,Drama,Western
1990,5,7.5,R,Total Recall,"65,000,000",113,Sony Pictures,"261,299,840","119,394,840",Action,Sci-Fi,Thriller
1990,6,7.4,PG,Back to the Future III,"40,000,000",118,Universal Pictures,"244,527,583","87,727,583",Adventure,Comedy,Sci-Fi
1990,7,7.2,R,Die Hard 2,"70,000,000",124,Twentieth Century Fox,"240,031,094","117,540,947",Action,Thriller,
1990,8,6.9,R,Presumed Innocent,"22,000,000",127,Warner Bros.,"221,303,188","86,303,188",Mystery,Thriller,
1990,9,6.8,PG,Teenage Mutant Ninja Turtles,"13,500,000",93,New Line Cinema,"201,965,915","135,265,915",Action,Adventure,Comedy
1990,10,6.1,PG-13,Kindergarten Cop,"15,000,000",111,Universal Pictures,"201,957,688","91,457,688",Comedy,Crime,
1989,1,8.2,PG-13,Indiana Jones and the Last Crusade,"48,000,000",127,Paramount Pictures,"474,171,806","197,171,806",Action,Adventure,
1989,2,7.5,PG-13,Batman,"35,000,000",126,Warner Bros.,"411,348,924","251,188,924",Action,Adventure,
1989,3,7.8,PG,Back to the Future II,"40,000,000",108,Universal Pictures,"331,950,002","118,450,002",Adventure,Comedy,Sci-Fi
1989,4,5.9,PG-13,Look Who's Talking,"7,500,000",93,TriStar Pictures,"296,999,813","140,088,813",Comedy,,
1989,5,7.2,R,Lethal Weapon 2,"28,000,000",114,Warner Bros.,"227,853,986","147,253,986",Action,Crime,Thriller
1989,6,6.3,PG,"Honey, I Shrunk the Kids","18,000,000",93,Walt Disney ,"222,724,172","130,724,172",Adventure,Comedy,Family
1989,7,6.6,PG,Ghostbusters II,"37,000,000",108,Columbia Pictures,"215,394,738","112,494,738",Action,Comedy,Fantasy
1989,8,7.6,G,The Little Mermaid,"40,000,000",83,Walt Disney ,"184,155,863","84,355,863",Animation,Family,Fantasy
1989,9,7.2,R,Born on the Fourth of July,"14,000,000",145,Universal Pictures,"161,001,698","70,001,698",Biography,Drama,War
1989,10,6.8,R,The War of the Roses,"26,000,000",116,Twentieth Century Fox,"160,188,546","86,888,546",Comedy,Romance,
1988,1,8,R,Rain Man,"25,000,000",133,Metro-Goldwyn-Mayer,"354,825,435","172,825,435",Drama,,
1988,2,7.7,PG,Who Framed Roger Rabbit,"70,000,000",104,Walt Disney ,"329,803,958","156,452,370",Animation,Adventure,Comedy
1988,3,7,R,Coming to America,"39,000,000",116,Paramount Pictures,"288,752,301","128,152,301",Comedy,Romance,
1988,4,5.6,PG,Crocodile Dundee II,"14,000,000",108,Paramount Pictures,"239,606,210","109,306,210",Action,Adventure,Comedy
1988,5,8.1,PG,Dead Poets Society,"16,400,000",128,Walt Disney ,"235,860,116","95,860,116",Comedy,Drama,
1988,6,6.1,PG,Twins,"15,000,000",107,Universal Pictures,"216,614,388","111,938,388",Comedy,Crime,
1988,7,5.8,R,Rambo III,"63,000,000",102,TriStar Pictures,"189,015,611","53,715,611",Action,Adventure,
1988,8,5.9,R,Cocktail,"20,000,000",104,Walt Disney ,"171,504,781","78,222,753",Comedy,Drama,Romance
1988,9,7.3,PG,Big,"18,000,000",104,Twentieth Century Fox,"151,668,774","114,968,774",Comedy,Drama,Fantasy
1988,10,8.2,R,Die Hard,"28,000,000",132,Twentieth Century Fox,"140,767,956","83,008,852",Action,Thriller,
1987,1,6.9,R,Fatal Attraction,"14,000,000",119,Paramount Pictures,"320,145,693","156,645,693",Drama,Thriller,
1987,2,6.5,R,Beverly Hills Cop II,"28,000,000",100,Paramount Pictures,"299,965,036","153,665,036",Action,Comedy,Crime
1987,3,7,PG-13,Dirty Dancing,"6,000,000",100,Vestron Pictures,"213,446,382","63,446,382",Drama,Music ,Romance
1987,4,6,PG,Three Men and a Baby,"11,000,000",102,Walt Disney ,"167,780,960","167,780,960",Comedy,Drama,Family
1987,5,7.3,R,"Good Morning, Vietnam","13,000,000",121,Walt Disney ,"123,922,370","123,922,370",Biography,Comedy,Drama
1987,6,7.6,R,Lethal Weapon,"15,000,000",109,Warner Bros.,"120,207,127","65,207,127",Action,Crime,Thriller
1987,7,6.5,PG-13,The Secret of My Success,"12,000,000",111,Universal Pictures,"110,996,879","66,995,879",Comedy,Romance,
1987,8,7.8,R,Predator,"15,000,000",107,Twentieth Century Fox,"98,267,558","59,735,548",Action,Adventure,Sci-Fi
1987,9,7.1,PG,Moonstruck,"15,000,000",102,Metro-Goldwyn-Mayer,"80,640,528","80,640,528",Comedy,Drama,Romance
1987,10,7.9,R,The Untouchables,"25,000,000",119,Paramount Pictures,"76,270,454","76,270,454",Crime,Drama,Thriller
1986,1,6.9,PG,Top Gun,"15,000,000",110,Paramount Pictures,"353,811,728","176,781,728",Action,Drama,
1986,2,6.6,PG-13,Crocodile Dundee,"8,800,000",97,Paramount Pictures,"328,203,506","174,803,506",Action,Adventure,Comedy
1986,3,8.1,R,Platoon,"6,000,000",120,Orion Pictures,"138,545,632","138,530,565",Drama,War,
1986,4,8.3,R,Aliens,"18,500,000",137,Twentieth Century Fox,"131,060,248","85,160,248",Action,Adventure,Sci-Fi
1986,5,6,PG,The Karate Kid Part II,"13,500,000",113,Columbia Pictures,"115,103,979","115,103,979",Action,Family,Romance
1986,6,7.3,PG,Star Trek IV: Voyage Home,"25,000,000",119,Paramount Pictures,"109,713,132","109,713,132",Adventure,Comedy,Sci-Fi
1986,7,6,PG,Legal Eagles,"40,000,000",116,Universal Pictures,"93,151,591","49,851,591",Comedy,Crime,Romance
1986,8,6.6,PG-13,Back to School,"11,000,000",96,Orion Pictures,"91,258,000","91,258,000",Comedy,Romance,Sport
1986,9,6.9,G,An American Tail,"9,000,000",80,Universal Pictures,"84,542,002","47,483,002",Animation,Adventure,Comedy
1986,10,6,PG-13,The Golden Child,"25,000,000",94,Paramount Pictures,"79,817,937","79,817,937",Action,Adventure,Comedy
1985,1,8.5,PG,Back to the Future,"19,000,000",116,Universal Pictures,"381,109,762","210,609,762",Adventure,Comedy,Sci-Fi
1985,2,6.9,PG,Rocky IV,"30,000,000",91,United Artists,"300,473,716","127,873,716",Drama,Sport,
1985,3,6.5,R,Rambo: First Blood II,"44,000,000",96,TriStar Pictures,"300,400,432","150,415,432",Action,Adventure,Thriller
1985,4,7.2,PG,Out of Africa,"31,000,000",161,Universal Pictures,"227,514,205","87,071,205",Biography,Drama,Romance
1985,5,6.1,PG,The Jewel of the Nile,"25,000,000",106,Twentieth Century Fox,"96,773,200","75,973,200",Action,Adventure,Comedy
1985,6,7.8,PG-13,The Color Purple,"15,000,000",154,Warner Bros.,"94,175,854","94,175,854",Drama,,
1985,7,6.7,PG-13,Cocoon,"17,500,000",117,Twentieth Century Fox,"85,313,124","76,113,124",Comedy,Drama,Sci-Fi
1985,8,7.4,R,Witness,"12,000,000",112,Paramount Pictures,"68,706,993","68,706,993",Crime,Drama,Romance
1985,9,7.8,PG,The Goonies,"19,000,000",114,Warner Bros.,"61,389,680","61,389,680",Adventure,Comedy,Family
1985,10,7.8,PG,E.T. the Extra-Terrestrial 1985 Re-release,"10,500,000",115,Universal Pictures,"60,903,502","40,607,502",Family,Sci-Fi,
1984,1,7.6,PG,Indiana Jones and the Temple of Doom,"28,000,000",118,Paramount Pictures,"333,107,271","179,870,271",Action,Adventure,
1984,2,7.3,R,Beverly Hills Cop ,"14,000,000",105,Paramount Pictures,"316,360,478","234,760,478",Action,Comedy,Crime
1984,3,7.8,PG,Ghostbusters ,"30,000,000",105,Columbia Pictures,"282,242,989","229,242,989",Action,Comedy,Fantasy
1984,4,7.3,PG,Gremlins,"11,000,000",106,Warner Bros.,"148,168,459","148,168,459",Comedy,Fantasy,Horror
1984,5,7.2,PG,The Karate Kid ,"8,000,000",126,Columbia Pictures,"90,815,558","90,815,558",Action,Drama,Family
1984,6,6.9,PG,Romancing the Stone,"10,000,000",106,Twentieth Century Fox,"86,572,238","76,572,238",Action,Adventure,Comedy
1984,7,6.7,R,Police Academy,"4,500,000",96,Warner Bros.,"81,198,894","81,198,894",Comedy,,
1984,8,6.6,PG,Footloose,"8,200,000",107,Paramount Pictures,"80,035,402","80,035,402",Drama,Music ,Romance
1984,9,8,R,The Terminator,"6,400,000",107,Orion Pictures,"78,371,200","38,371,200",Action,Sci-Fi,
1984,10,6.7,PG,Star Trek III: The Search for Spock,"17,000,000",105,Paramount Pictures,"76,471,046","76,471,046",Action,Adventure,Sci-Fi
1983,1,7,PG,Star Wars: Episode VI - Return of the Jedi,"32,500,000",131,Twentieth Century Fox,"374,593,074","252,583,617",Action,Adventure,Fantasy
1983,2,7.4,PG,Terms of Endearment,"8,000,000",132,Paramount Pictures,"108,423,489","108,423,489",Comedy,Drama,
1983,3,6.2,R,Flashdance,"4,000,000",95,Paramount Pictures,"92,921,203","92,921,203",Drama,Music ,Romance
1983,4,7.5,R,Trading Places,"15,000,000",116,Paramount Pictures,"90,404,800","90,404,800",Comedy,,
1983,5,3.7,PG,Jaws 3-D,"20,500,000",99,Universal Pictures,"87,987,055","45,517,055",Adventure,Horror,Thriller
1983,6,7.1,PG,WarGames,"12,000,000",114,Metro-Goldwyn-Mayer,"79,567,667","79,567,667",Sci-Fi,Thriller,
1983,7,6.6,PG,Octopussy,"27,500,000",131,Metro-Goldwyn-Mayer,"67,893,619","67,893,619",Action,Adventure,Thriller
1983,8,6.6,R,Sudden Impact,"22,000,000",117,Warner Bros.,"67,642,693","67,642,693",Action,Crime,Thriller
1983,9,8.3,R,Scarface,"25,000,000",170,Universal Pictures,"65,144,798","44,668,798",Crime,Drama,
1983,10,4.6,PG,Staying Alive,"22,000,000",93,Paramount Pictures,"64,892,670","64,892,670",Drama,Music ,Romance
1982,1,7.8,PG,E.T. the Extra-Terrestrial  ,"10,500,000",115,Universal Pictures,"663,400,925","359,197,037",Family,Sci-Fi,
1982,2,7.4,PG,Tootsie,"21,000,000",116,Columbia Pictures,"177,200,000","177,200,000",Comedy,Drama,Romance
1982,3,7,R,An Officer and a Gentleman,"7,500,000",124,Paramount Pictures,"129,795,554","129,795,554",Drama,Romance,
1982,4,7.7,R,First Blood,"15,000,000",93,Orion Pictures,"125,212,904","47,212,904",Action,Adventure,
1982,5,6.8,PG,Rocky III,"17,000,000",99,United Artists,"124,146,897","124,146,897",Drama,Sport,
1982,6,7.3,PG,Poltergeist,"10,700,000",114,Metro-Goldwyn-Mayer,"123,606,280","76,606,280",Horror,Thriller,
1982,7,6.2,R,Porky's,"2,500,000",94,Twentieth Century Fox,"105,492,483","105,492,483",Comedy,,
1982,8,7.7,PG,Star Trek II: The Wrath of Khan,"11,200,000",113,Paramount Pictures,"78,912,963","78,912,963",Action,Adventure,Sci-Fi
1982,9,6.9,R,48 Hrs.,"12,000,000",96,Paramount Pictures,"78,868,508","78,868,508",Action,Comedy,Crime
1982,10,5.9,R,The Best Little Whorehouse in Texas,"35,000,000",114,Universal Pictures,"69,701,637","69,701,637",Comedy,Musical,
1981,1,8.4,PG,Raiders of the Lost Ark,"18,000,000",115,Paramount Pictures,"353,988,025","212,222,025",Action,Adventure,
1981,2,7.6,PG,On Golden Pond,"7,500,000",109,Universal Pictures,"119,285,432","119,285,432",Drama,,
1981,3,6.8,PG,Superman II,"54,000,000",127,Warner Bros.,"108,185,706","108,185,706",Action,Adventure,Sci-Fi
1981,4,6.9,PG,Arthur,"7,000,000",97,Warner Bros.,"95,461,682","95,461,682",Comedy,Romance,
1981,5,6.9,R,Stripes,"10,000,000",106,Columbia Pictures,"85,297,000","85,297,000",Comedy,War,
1981,6,6.3,PG,The Cannonball Run,"18,000,000",95,Twentieth Century Fox,"72,179,579","72,179,579",Action,Comedy,Sport
1981,7,7.2,PG,Chariots of Fire,"5,500,000",125,Columbia Pictures,"58,972,904","58,972,904",Biography,Drama,Sport
1981,8,6.8,PG,For Your Eyes Only,"28,000,000",127,Metro-Goldwyn-Mayer,"54,812,802","54,812,802",Action,Adventure,Thriller
1981,9,6.9,PG,The Four Seasons,"6,500,000",107,Universal Pictures,"50,427,646","50,427,646",Comedy,Drama,
1981,10,7,PG,Time Bandits,"5,000,000",116,Embassy Pictures,"42,365,581","42,365,581",Adventure,Comedy,Fantasy
1980,1,8.7,PG,Star Wars: Episode V - The Empire Strikes Back,"18,000,000",124,Twentieth Century Fox,"400,083,259","209,398,025",Action,Adventure,Fantasy
1980,2,7.9,R,The Blues Brothers,"27,000,000",133,Universal Pictures,"115,229,890","57,229,890",Adventure,Comedy,Crime
1980,3,6.8,PG,9 to 5,"10,000,000",109,Twentieth Century Fox,"103,290,500","103,290,500",Comedy,,
1980,4,6.8,R,Stir Crazy,"10,000,000",111,Columbia Pictures,"101,300,000","101,300,000",Comedy,Crime,
1980,5,7.7,PG,Airplane!,"3,500,000",88,Paramount Pictures,"83,453,539","83,453,539",Comedy,,
1980,6,6.2,PG,Any Which Way You Can,"15,000,000",116,Warner Bros.,"70,687,344","70,687,344",Action,Comedy,
1980,7,6.2,R,Private Benjamin,"10,000,000",109,Warner Bros.,"69,847,348","69,847,348",Comedy,War,
1980,8,7.5,PG,Coal Miner's Daughter,"15,000,000",124,Universal Pictures,"67,182,787","67,182,787",Biography,Drama,Music
1980,9,5.3,PG,Smokey and the Bandit II,"17,000,000",100,Universal Pictures,"66,132,626","66,132,626",Action,Comedy,
1980,10,5.8,R,The Blue Lagoon,"4,500,000",104,Columbia Pictures,"58,853,106","58,853,106",Adventure,Drama,Romance
1979,1,6.3,PG,Moonraker,"34,000,000",126,Metro-Goldwyn-Mayer,"210,308,099","70,308,099",Action,Adventure,Sci-Fi
1979,2,7.8,PG,Kramer vs. Kramer,"8,000,000",105,Columbia Pictures,"106,260,000","106,260,000",Drama,,
1979,3,8.4,R,Alien,"11,000,000",117,Twentieth Century Fox,"101,718,022","78,944,891",Horror,Sci-Fi,
1979,4,5.8,PG,1941,"35,000,000",118,Universal Pictures,"92,455,742","31,755,742",Action,Comedy,War
1979,5,6.2,R,The Amityville Horror,"4,700,000",117,American International Pictures,"86,432,000","86,432,000",Horror,,
1979,6,7.3,PG,Rocky II,"7,000,000",119,United Artists,"85,182,160","85,182,160",Drama,Sport,
1979,7,6.4,G,Star Trek: The Motion Picture,"35,000,000",132,Paramount Pictures,"82,258,456","82,258,456",Adventure,Mystery,Sci-Fi
1979,8,8.4,R,Apocalypse Now,"31,500,000",147,Metro-Goldwyn-Mayer,"78,784,010","78,784,010",Drama,Mystery,War
1979,9,6.1,R,10,"7,000,000",122,Warner Bros.,"74,865,517","74,865,517",Comedy,Romance,
1979,10,7.2,R,The Jerk,"4,000,000",94,Universal Pictures,"73,691,419","73,691,419",Comedy,,
1978,1,7.2,PG-13,Grease,"6,000,000",110,Paramount Pictures,"366,178,870","159,978,870",Musical ,Romance,
1978,2,7.3,PG,Superman,"55,000,000",143,Warner Bros.,"300,218,018","134,218,018",Action,Adventure,Drama
1978,3,5.8,PG,Jaws 2,"20,000,000",116,Universal Pictures,"183,855,272","77,737,272",Adventure,Drama,Horror
1978,4,7.5,R,National Lampoon's Animal House,"3,000,000",109,Universal Pictures,"120,091,123","120,091,123",Comedy,,
1978,5,6.4,PG,Every Which Way But Loose,"5,000,000",114,Warner Bros.,"85,196,485","85,196,485",Action,Comedy,
1978,6,6.9,PG,Heaven Can Wait,"15,000,000",101,Paramount Pictures,"81,640,278","81,640,278",Comedy,Fantasy,Romance
1978,7,6.3,PG,Hooper,"6,000,000",99,Warner Bros.,"78,000,000","78,000,000",Action,Comedy,
1978,8,6.7,PG,Revenge of the Pink Panther,"12,000,000",99,United Artists,"49,579,269","49,579,269",Comedy,Crime,Mystery
1978,9,8.1,R,The Deer Hunter,"15,000,000",183,Universal Pictures,"48,991,826","48,979,328",Drama,War,
1978,10,7.8,R,Halloween,"325,000",91,Compass International Pictures,"47,000,000","47,000,000",Horror,Thriller,
1977,1,8.6,PG,Star Wars: Episode IV - A New Hope,"11,000,000",121,Twentieth Century Fox,"503,015,849","307,263,857",Action,Adventure,Fantasy
1977,2,7.6,PG,Close Encounters of the Third Kind,"20,000,000",138,Columbia Pictures,"288,095,460","116,395,460",Drama,Sci-Fi,
1977,3,6.8,R,Saturday Night Fever,"3,000,000",118,Paramount Pictures,"237,113,184","94,213,184",Drama,Music,
